feature,mutual_information
Init Fwd Win Byts,0.33261475875791535
Dst Port,0.26253034036268397
Fwd Pkts/s,0.23594722164142135
Fwd Pkt Len Mean,0.22260456870891798
Fwd Seg Size Avg,0.22198218551092808
Flow Pkts/s,0.2165986118993084
Fwd Header Len,0.21091144825673314
Bwd Seg Size Avg,0.21049935256392582
Bwd Pkt Len Mean,0.2094918416280771
TotLen Fwd Pkts,0.2044049761686202
Fwd Pkt Len Max,0.20183644833638015
TotLen Bwd Pkts,0.19492735532337635
Subflow Fwd Byts,0.194024504340921
Bwd Pkt Len Max,0.190981833640677
Pkt Len Std,0.19023826859073667
Pkt Len Mean,0.18902134351257427
Pkt Len Var,0.18843867952941373
Subflow Bwd Byts,0.18602238275615557
Pkt Size Avg,0.17975488723995747
Bwd Pkts/s,0.1729810915645531
Pkt Len Max,0.17138961678904963
Fwd Pkt Len Std,0.1583717846875361
Bwd Pkt Len Std,0.15238240742112574
Fwd IAT Min,0.1421785072760322
Init Bwd Win Byts,0.14050896371215726
Bwd Header Len,0.13340066219321667
Flow IAT Mean,0.13328113171021583
Fwd IAT Max,0.12439328275186634
Flow IAT Max,0.12379660858742669
Flow IAT Min,0.11579996652069835
Fwd Seg Size Min,0.11549171149142223
Flow Byts/s,0.11401771453787624
Fwd IAT Mean,0.11344193540434944
Fwd IAT Tot,0.11240312790289719
Subflow Bwd Pkts,0.09303187598377027
Tot Bwd Pkts,0.09106044504514821
Protocol,0.08682578447945732
Flow Duration,0.08624756000832434
Subflow Fwd Pkts,0.08125151284015208
Tot Fwd Pkts,0.08078245105698612
Bwd IAT Min,0.08038768812555519
Fwd IAT Std,0.07001643021783921
Flow IAT Std,0.06836337310407625
Bwd IAT Mean,0.06827216197456254
Bwd IAT Max,0.06124926704554756
Fwd Act Data Pkts,0.051904962299826884
Bwd IAT Tot,0.050479188395222696
Bwd IAT Std,0.04990818816551523
Src Port,0.04881426690773405
Fwd Pkt Len Min,0.044806584352001355
Pkt Len Min,0.043192069049956316
Bwd Pkt Len Min,0.04297221552984931
ACK Flag Cnt,0.04209658510190506
Idle Max,0.030680755297376017
Idle Mean,0.03000249854718451
Idle Min,0.027434055896042198
PSH Flag Cnt,0.026823025784662002
Down/Up Ratio,0.01860680453051211
Idle Std,0.016835166773805144
Active Mean,0.016768889805300224
Active Std,0.01392282475123685
Active Min,0.012750256192842535
Active Max,0.011397265058319173
RST Flag Cnt,0.006068911526419418
ECE Flag Cnt,0.00585713378002839
SYN Flag Cnt,0.004412384483129417
Fwd PSH Flags,0.00432764456181034
Bwd URG Flags,0.0008059792967252122
Fwd Blk Rate Avg,0.0007704130364818429
URG Flag Cnt,0.0007437800544753959
CWE Flag Count,0.0006264720440936067
Bwd Pkts/b Avg,0.0005905035474869091
Bwd Blk Rate Avg,0.000293543895518944
FIN Flag Cnt,0.00021358363761359023
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Bwd Byts/b Avg,0.0
Fwd Byts/b Avg,0.0
Fwd Pkts/b Avg,0.0
