feature,importance
Dst Port,0.18125490181614712
Init Fwd Win Byts,0.0866432229817693
Fwd Pkts/s,0.07160649161878622
Flow Pkts/s,0.06984313311370098
Fwd Pkt Len Mean,0.0624327824829091
Bwd Pkts/s,0.05610542999642956
Fwd Seg Size Avg,0.05553444076930224
Pkt Len Mean,0.05101898575755091
Pkt Len Std,0.04967424255149535
Fwd Header Len,0.04526917888665241
Bwd Pkt Len Max,0.0411840910902524
Pkt Len Var,0.03353756473567561
TotLen Bwd Pkts,0.03141079322377723
Fwd Pkt Len Max,0.0288376517924871
TotLen Fwd Pkts,0.026969587616363193
Pkt Size Avg,0.025198473824966202
Subflow Bwd Byts,0.022281784319943976
Bwd Seg Size Avg,0.021201399329594552
Subflow Fwd Byts,0.02043993016233554
Bwd Pkt Len Mean,0.01955591392986108
